time,dir0,snow_prec0,isocero0,mod0,racha_u0,racha_v0,mslp0,temp0,rh0,visibility0,lhevapac0,lhsublac0,lwflx0,prec0,swflx0,shflxac0,cape0,cin0,cfh0,cfl0,cfm0,cft0,HGT5000,HGT8500,T5000,T8500,dir1,snow_prec1,isocero1,mod1,racha_u1,racha_v1,mslp1,temp1,rh1,visibility1,lhevapac1,lhsublac1,lwflx1,prec1,swflx1,shflxac1,cape1,cin1,cfh1,cfl1,cfm1,cft1,HGT5001,HGT8501,T5001,T8501
2021-12-02 00:00:00,249.09,0,1218.57,1.73,2.09,0.89,95568.73,277.21,0.93,25549.33,-4048,-44.0,-6.28,5.74,0.0,-190952,0.31,-1.71,1.0,0.93,1.0,1.0,53428.77,13914.44,244.33,272.28,232.27,0,1216.63,1.28,1.25,1.05,95829.73,276.76,0.95,5112.33,67632,-44.0,-5.94,5.66,0.0,349208,0.75,-2.71,1.0,0.98,1.0,1.0,53424.9,13910.94,244.33,272.25
2021-12-02 01:00:00,255.23,0,1175.03,2.4,3.05,0.93,95496.75,277.2,0.92,21171.17,-10128,21.0,-3.34,5.94,0.0,-195959,22.53,-1.67,1.0,1.0,1.0,1.0,53325.53,13847.83,244.51,272.19,254.52,0,1163.15,2.02,2.51,0.8,95760.75,276.74,0.94,6652.17,68720,21.0,-4.09,5.91,0.0,363145,30.84,-2.17,1.0,1.0,1.0,1.0,53322.66,13846.96,244.44,272.25
2021-12-02 02:00:00,253.42,0,1207.34,2.39,3.01,1.02,95419.34,276.87,0.92,9424.37,-17696,77.0,-28.82,6.29,0.0,-195865,1.31,-5.5,1.0,0.78,0.53,1.0,53275.0,13779.82,244.41,272.33,252.36,0,1225.65,1.79,2.19,0.79,95681.34,276.5,0.94,7898.37,68320,77.0,-26.5,6.22,0.0,379111,1.62,0.0,0.89,0.93,0.42,1.0,53271.13,13778.5,244.43,272.35
2021-12-02 03:00:00,272.38,0,1084.65,1.93,2.64,-0.01,95431.39,276.54,0.94,5335.85,-28480,7.0,-3.27,7.21,0.0,-188362,14.81,0.12,1.0,1.0,1.0,1.0,53204.75,13761.36,244.13,271.7,284.1,0,1092.59,1.9,2.53,-0.54,95698.39,276.23,0.96,3134.85,66752,7.0,-1.81,7.15,0.0,400438,10.22,0.12,1.0,1.0,1.0,1.0,53201.62,13761.73,244.08,271.65
2021-12-02 04:00:00,299.43,0,1023.37,0.93,1.18,-0.61,95379.66,276.38,0.95,4418.4,-31392,49.0,-6.05,7.61,0.0,-209120,11.84,-0.17,0.96,1.0,0.27,1.0,53153.71,13717.81,243.76,271.8,296.13,0,1030.93,1.06,1.28,-0.57,95641.66,276.15,0.96,3290.4,65888,49.0,-4.12,7.61,0.0,406816,13.84,-0.17,0.86,1.0,0.24,1.0,53149.83,13716.44,243.78,271.85
2021-12-02 05:00:00,276.66,0,1035.66,2.2,2.93,-0.23,95387.58,276.4,0.93,25099.45,-36352,32.0,-8.76,7.74,0.0,-228443,32.0,0.23,1.0,0.85,1.0,1.0,53128.41,13731.58,243.53,272.37,272.49,0,1007.48,2.08,2.84,-0.02,95651.58,276.18,0.95,4394.45,65024,32.0,-5.77,7.75,0.0,413093,31.88,0.23,0.98,0.97,1.0,1.0,53128.41,13729.77,243.49,272.38
2021-12-02 06:00:00,315.68,0,977.7,4.01,4.03,-3.83,95528.51,276.27,0.93,15949.45,-60336,16.0,-3.0,8.04,0.0,-205935,11.72,0.2,0.0,1.0,1.0,1.0,53139.33,13823.24,243.71,271.38,314.77,0,981.45,3.62,3.81,-3.5,95794.51,276.36,0.93,17501.45,44112,16.0,-3.01,8.02,0.0,465809,14.22,0.2,0.0,1.0,0.84,1.0,53138.71,13824.11,243.76,271.36
2021-12-02 07:00:00,294.34,0,1089.09,4.39,5.69,-2.32,95588.4,275.98,0.95,3475.57,-102224,69.0,-17.25,8.68,0.0,-187237,42.81,-0.17,0.0,1.0,1.0,1.0,53153.23,13884.18,243.29,271.41,301.71,0,1080.78,4.07,5.12,-2.9,95855.4,276.02,0.96,3326.57,4272,69.0,-15.12,8.49,0.0,515227,45.72,-0.17,0.0,1.0,1.0,1.0,53152.48,13885.0,243.26,271.42
2021-12-02 08:00:00,272.42,0,1165.73,1.93,2.6,-0.01,95629.8,276.15,0.95,5934.19,-121488,30.0,-12.9,8.98,12.63,-192615,96.34,-0.24,0.0,1.0,0.01,1.0,53180.59,13938.45,242.7,271.3,273.73,0,1157.67,1.41,1.85,-0.05,95901.8,276.08,0.95,4733.19,-11920,30.0,-10.54,8.7,9.91,534425,97.66,-0.24,0.0,1.0,0.0,1.0,53181.96,13943.89,242.61,271.3
2021-12-02 09:00:00,297.77,0,1073.06,3.92,4.93,-2.37,95701.96,276.91,0.94,14736.86,-145808,9.0,-3.56,9.14,11.59,-188585,11.66,-0.24,0.09,1.0,1.0,1.0,53257.19,13987.05,243.24,271.26,306.27,0,1082.62,3.64,4.31,-2.92,95968.96,276.94,0.94,13558.86,-27024,9.0,-2.86,8.88,10.65,559447,16.28,-1.74,0.11,1.0,1.0,1.0,53258.19,13989.48,243.15,271.33
